Date,installment_interest_rate
2018-11-18,1.51109
2018-11-19,2.26502
2018-11-20,2.36915
2018-11-21,2.30937
2018-11-22,2.17825
2018-11-23,2.2226
2018-11-24,1.41853
2018-11-25,1.69362
2018-11-26,2.57161
2018-11-27,2.43856
2018-11-28,2.37558
2018-11-29,2.43728
2018-11-30,4.19133
2018-12-01,2.53755
2018-12-02,2.44499
2018-12-03,3.97408
2018-12-04,3.66685
2018-12-05,3.52416
2018-12-06,2.99839
2018-12-07,2.61789
2018-12-08,1.6827
2018-12-09,1.89545
2018-12-10,3.22528
2018-12-11,3.06395
2018-12-12,2.86406
2018-12-13,2.51762
2018-12-14,2.35244
2018-12-15,1.63256
2018-12-16,2.06127
2018-12-17,3.25164
2018-12-18,2.74515
2018-12-19,2.60568
2018-12-20,2.69181
2018-12-21,2.42828
2018-12-22,1.60364
2018-12-23,7.00333
2018-12-24,4.45807
2018-12-25,3.58651
2018-12-26,5.04425
2018-12-27,4.02421
2018-12-28,3.47145
2018-12-29,2.24253
2018-12-30,2.59154
2018-12-31,3.50745
2019-01-01,3.28442
2019-01-02,4.44457
2019-01-03,3.98051
2019-01-04,3.88538
2019-01-05,2.32287
2019-01-06,2.56261
2019-01-07,3.96122
2019-01-08,3.87381
2019-01-09,3.29598
2019-01-10,3.39625
2019-01-11,3.10509
2019-01-12,1.82089
2019-01-13,2.30487
2019-01-14,3.26063
2019-01-15,3.3474
2019-01-16,3.31977
2019-01-17,3.02796
2019-01-18,3.28634
2019-01-19,1.88131
2019-01-20,2.17504
2019-01-21,3.6707
2019-01-22,3.64114
2019-01-23,3.23043
2019-01-24,3.21628
2019-01-25,3.53187
2019-01-26,2.23546
2019-01-27,2.3023
2019-01-28,3.56144
2019-01-29,3.32555
2019-01-30,3.17708
2019-01-31,3.79925
2019-02-01,3.43739
2019-02-02,1.99122
2019-02-03,1.84146
2019-02-04,1.70069
2019-02-05,2.11205
2019-02-06,3.08838
2019-02-07,4.90799
2019-02-08,4.25946
2019-02-09,2.38457
2019-02-10,2.56711
2019-02-11,4.08463
2019-02-12,3.51452
2019-02-13,3.10509
2019-02-14,2.87563
2019-02-15,2.86278
2019-02-16,1.87616
2019-02-17,2.04135
2019-02-18,3.32876
2019-02-19,3.224
2019-02-20,3.49652
2019-02-21,3.44317
2019-02-22,3.02153
2019-02-23,1.94301
2019-02-24,2.20204
2019-02-25,4.05378
2019-02-26,3.61864
2019-02-27,3.28442
2019-02-28,3.17065
2019-03-01,2.03042
2019-03-02,1.81832
2019-03-03,2.15383
2019-03-04,3.00996
2019-03-05,2.96561
2019-03-06,2.74708
2019-03-07,2.7008
2019-03-08,2.86085
2019-03-09,1.74504
2019-03-10,2.00407
2019-03-11,3.02475
2019-03-12,2.79914
2019-03-13,2.77343
2019-03-14,2.50155
2019-03-15,2.5684
2019-03-16,1.74762
2019-03-17,1.85945
2019-03-18,2.74323
2019-03-19,2.74323
2019-03-20,2.81586
2019-03-21,2.93541
2019-03-22,2.40064
2019-03-23,1.62549
2019-03-24,1.8241
2019-03-25,3.47467
2019-03-26,3.14044
2019-03-27,2.85571
2019-03-28,2.64296
2019-03-29,2.43342
2019-03-30,1.63192
2019-03-31,1.99957
2019-04-01,2.96497
2019-04-02,2.82742
2019-04-03,2.73037
2019-04-04,2.5684
2019-04-05,2.29909
2019-04-06,1.49759
2019-04-07,1.7264
2019-04-08,2.55297
2019-04-09,2.5414
2019-04-10,2.83385
